Player,Team,Possessions,2P%,2PA,3P%,3PA,Turnover%,ShootingFoul%,PersonalFoul%
LJ Cryer,Baylor,0,NA,0,NA,0,NA,NA,NA
Mark Vital,Baylor,78,0.47368421052631576,38,0.3157894736842105,19,0.21794871794871795,0.075,0.1625
MaCio Teague,Baylor,111,0.45,60,0.36,25,0.23423423423423423,0.0782608695652174,0.1565217391304348
Zach Loveday,Baylor,0,NA,0,NA,0,NA,NA,NA
Dain Dainja,Baylor,0,NA,0,NA,0,NA,NA,NA
Jared Butler,Baylor,115,0.4827586206896552,58,0.26666666666666666,30,0.22608695652173913,0.08695652173913043,0.13043478260869565
Mark Paterson,Baylor,0,NA,0,NA,0,NA,NA,NA
Davion Mitchell,Baylor,102,0.4528301886792453,53,0.3181818181818182,22,0.2647058823529412,0.06862745098039216,0.17647058823529413
Adam Flagler,Baylor,0,NA,0,NA,0,NA,NA,NA
Jordan Turner,Baylor,0,NA,0,NA,0,NA,NA,NA
Matthew Mayer,Baylor,38,0.47058823529411764,17,0.09090909090909091,11,0.2631578947368421,0.08823529411764706,0.17647058823529413
Jackson Moffatt,Baylor,6,0,1,0,3,0.16666666666666666,0.2,0
Jonathan Tchamwa Tchatchoua,Baylor,0,NA,0,NA,0,NA,NA,NA
Flo Thamba,Baylor,18,0.5714285714285714,7,0.125,8,0.16666666666666666,0.058823529411764705,0.17647058823529413
SK Shittu,Central Arkansas,44,0.7083333333333334,24,0.4444444444444444,18,0.22727272727272727,0.06521739130434782,0.1956521739130435
Churchill Bounds,Central Arkansas,0,NA,0,NA,0,NA,NA,NA
Suazell Farmer,Central Arkansas,0,NA,0,NA,0,NA,NA,NA
Masai Olowokere,Central Arkansas,57,0.5714285714285714,42,0.4666666666666667,15,0.12280701754385964,0.03508771929824561,0.07017543859649122
Khaleem Bennett,Central Arkansas,0,NA,0,NA,0,NA,NA,NA
Collin Cooper,Central Arkansas,63,0.4857142857142857,35,0.5238095238095238,21,0.20634920634920634,0.03225806451612903,0.16129032258064516
Jaxson Baker,Central Arkansas,64,0.5526315789473685,38,0.5,20,0.171875,0.03225806451612903,0.08064516129032258
Brendan Simmons,Central Arkansas,0,NA,0,NA,0,NA,NA,NA
Samson George,Central Arkansas,0,NA,0,NA,0,NA,NA,NA
Eddy Kayouloud,Central Arkansas,103,0.6101694915254238,59,0.5555555555555556,36,0.1553398058252427,0.08080808080808081,0.1111111111111111
Jared Chatham,Central Arkansas,42,0.5172413793103449,29,0.75,12,0.023809523809523808,0.12195121951219512,0.12195121951219512
Trey South,Central Arkansas,0,NA,0,NA,0,NA,NA,NA
Jonas Munson,Central Arkansas,0,NA,0,NA,0,NA,NA,NA
Kragen Bradley,Central Arkansas,0,NA,0,NA,0,NA,NA,NA
Lewis McDaniel,Central Arkansas,41,0.64,25,0.2857142857142857,14,0.0975609756097561,0.09523809523809523,0.16666666666666666
Takal Molson,Seton Hall,0,NA,0,NA,0,NA,NA,NA
Sylwester Granda,Seton Hall,0,NA,0,NA,0,NA,NA,NA
Tyrese Samuel,Seton Hall,43,0.46153846153846156,13,0.42857142857142855,14,0.18604651162790697,0.1111111111111111,0.15555555555555556
Tray Jackson,Seton Hall,25,0.36363636363636365,11,0.2,5,0.28,0.09523809523809523,0
Shavar Reynolds Jr.,Seton Hall,73,0.41379310344827586,29,0.19047619047619047,21,0.3150684931506849,0.0945945945945946,0.13513513513513514
Jared Rhoden,Seton Hall,81,0.5405405405405406,37,0.23076923076923078,26,0.2962962962962963,0.0875,0.075
Myles Cale,Seton Hall,64,0.5517241379310345,29,0.21739130434782608,23,0.234375,0.08196721311475409,0.21311475409836064
Jeff Ngandu,Seton Hall,0,NA,0,NA,0,NA,NA,NA
Ike Obiagu,Seton Hall,43,0.5714285714285714,21,0.0625,16,0.2558139534883721,0.09302325581395349,0.23255813953488372
Sandro Mamukelashvili,Seton Hall,107,0.5098039215686274,51,0.23529411764705882,34,0.2336448598130841,0.0761904761904762,0.13333333333333333
Jahari Long,Seton Hall,0,NA,0,NA,0,NA,NA,NA
Bryce Aiken,Seton Hall,0,NA,0,NA,0,NA,NA,NA
Will Martinez,Wagner,53,0.68,25,0.5,16,0.1509433962264151,0.0784313725490196,0.19607843137254902
Atiba Taylor,Wagner,30,0.7857142857142857,14,0.5454545454545454,11,0.1,0.06666666666666667,0.13333333333333333
Ja'Mier Fletcher,Wagner,37,0.6842105263157895,19,0.5,12,0.08108108108108109,0.10526315789473684,0.13157894736842105
Elijah Allen,Wagner,0,NA,0,NA,0,NA,NA,NA
DeAndre Wilkins,Wagner,4,1,2,1,1,0.25,0,0
Alex Morales,Wagner,65,0.8214285714285714,28,0.3333333333333333,21,0.13846153846153847,0.11594202898550725,0.18840579710144928
Ashton Miller,Wagner,0,NA,0,NA,0,NA,NA,NA
Nigel Jackson,Wagner,0,NA,0,NA,0,NA,NA,NA
Jordan Mason,Wagner,0,NA,0,NA,0,NA,NA,NA
Delonnie Hunt,Wagner,0,NA,0,NA,0,NA,NA,NA
Elijah Ford,Wagner,0,NA,0,NA,0,NA,NA,NA
Chase Freeman,Wagner,52,0.7916666666666666,24,0.26666666666666666,15,0.1346153846153846,0.14545454545454545,0.18181818181818182
Justin Brown,Wagner,0,NA,0,NA,0,NA,NA,NA
Rodney Miller Jr.,Miami (FL),38,0.5833333333333334,24,0.3333333333333333,9,0.15789473684210525,0.14285714285714285,0.05714285714285714
Deng Gak,Miami (FL),22,0.5,10,0.625,8,0.2727272727272727,0,0.09090909090909091
Nysier Brooks,Miami (FL),0,NA,0,NA,0,NA,NA,NA
Isaiah Wong,Miami (FL),29,0.6111111111111112,18,0.625,8,0.1724137931034483,0.06896551724137931,0.06896551724137931
Anthony Walker,Miami (FL),34,0.4666666666666667,15,0.5833333333333334,12,0.23529411764705882,0.125,0.0625
Elijah Olaniyi,Miami (FL),55,0.5,40,0.4,15,0.10909090909090909,0.09259259259259259,0.12962962962962962
Chris Lykes,Miami (FL),59,0.5789473684210527,38,0.3076923076923077,13,0.1864406779661017,0.12280701754385964,0.05263157894736842
Filippos Gkogkos,Miami (FL),0,NA,0,NA,0,NA,NA,NA
Kameron McGusty,Miami (FL),43,0.56,25,0.4166666666666667,12,0.18604651162790697,0.11363636363636363,0.09090909090909091
Harlond Beverly,Miami (FL),38,0.5714285714285714,21,0.6428571428571429,14,0.15789473684210525,0.10810810810810811,0.05405405405405406
Sam Waardenburg,Miami (FL),38,0.6,30,0.16666666666666666,6,0.13157894736842105,0.15789473684210525,0.02631578947368421
Willie Herenton,Miami (FL),0,NA,0,NA,0,NA,NA,NA
Brad Colbert,Louisville,0,NA,0,NA,0,NA,NA,NA
Gabe Wiznitzer,Louisville,0,NA,0,NA,0,NA,NA,NA
Josh Nickelberry,Louisville,24,0.5294117647058824,17,0.42857142857142855,7,0.16666666666666666,0.125,0.08333333333333333
Samuell Williamson,Louisville,81,0.47619047619047616,42,0.2857142857142857,35,0.1728395061728395,0.07407407407407407,0.08641975308641975
Drew Schultz,Louisville,0,NA,0,NA,0,NA,NA,NA
Jae'Lyn Withers,Louisville,0,NA,0,NA,0,NA,NA,NA
Hogan Orbaugh,Louisville,0,NA,0,NA,0,NA,NA,NA
JJ Traynor,Louisville,0,NA,0,NA,0,NA,NA,NA
Malik Williams,Louisville,0,NA,0,NA,0,NA,NA,NA
David Johnson,Louisville,0,NA,0,NA,0,NA,NA,NA
Ashton Myles-Devore,Louisville,0,NA,0,NA,0,NA,NA,NA
Dre Davis,Louisville,0,NA,0,NA,0,NA,NA,NA
Sam Bearden,Louisville,0,NA,0,NA,0,NA,NA,NA
Carlik Jones,Louisville,0,NA,0,NA,0,NA,NA,NA
Quinn Slazinski,Louisville,19,0.4444444444444444,9,0.5555555555555556,9,0.05263157894736842,0.21052631578947367,0.05263157894736842
Charles Minlend,Louisville,0,NA,0,NA,0,NA,NA,NA
Nah'Shon Hyland,Virginia Commonwealth,65,0.42105263157894735,38,0.3333333333333333,21,0.3076923076923077,0.10526315789473684,0.14473684210526316
Adrian Baldwin Jr.,Virginia Commonwealth,0,NA,0,NA,0,NA,NA,NA
Josh Banks,Virginia Commonwealth,0,NA,0,NA,0,NA,NA,NA
Jamir Watkins,Virginia Commonwealth,0,NA,0,NA,0,NA,NA,NA
KeShawn Curry,Virginia Commonwealth,68,0.5238095238095238,42,0.2,25,0.25,0.11940298507462686,0.14925373134328357
Jarren McAllister,Virginia Commonwealth,0,NA,0,NA,0,NA,NA,NA
Corey Douglas,Virginia Commonwealth,72,0.4318181818181818,44,0.2962962962962963,27,0.25,0.11688311688311688,0.12987012987012986
Mikeal Brown-Jones,Virginia Commonwealth,0,NA,0,NA,0,NA,NA,NA
Vince Williams,Virginia Commonwealth,65,0.6052631578947368,38,0.3157894736842105,19,0.3230769230769231,0.10294117647058823,0.14705882352941177
Arnold Henderson VI,Virginia Commonwealth,0,NA,0,NA,0,NA,NA,NA
Levi Stockard III,Virginia Commonwealth,0,NA,0,NA,0,NA,NA,NA
Hason Ward,Virginia Commonwealth,10,0,6,0.5,2,0.2,0.25,0
Brendan Medley-Bacon,Virginia Commonwealth,0,NA,0,NA,0,NA,NA,NA
Dan Henry,St. Francis (PA),0,NA,0,NA,0,NA,NA,NA
Jeriah Coleman,St. Francis (PA),0,NA,0,NA,0,NA,NA,NA
Brad McCabe,St. Francis (PA),0,NA,0,NA,0,NA,NA,NA
Bryce Laskey,St. Francis (PA),31,0.5294117647058824,17,0.25,4,0.22580645161290322,0.0967741935483871,0.16129032258064516
Zahree Harrison,St. Francis (PA),0,NA,0,NA,0,NA,NA,NA
Justen Anderson,St. Francis (PA),0,NA,0,NA,0,NA,NA,NA
